epoch,step,train_acc,train_loss,val_AA,val_OA,val_kappa
0,0,,,0.23749999701976776,0.23749999701976776,0.18666666746139526
0,0,0.04374999925494194,2.8770928382873535,,,
1,1,,,0.36250001192092896,0.36250001192092896,0.3199999928474426
1,1,0.42500001192092896,2.3081905841827393,,,
2,2,,,0.5375000238418579,0.5375000238418579,0.5066666603088379
2,2,0.7437500357627869,1.8962116241455078,,,
3,3,,,0.5625,0.5625,0.5333333611488342
3,3,0.8374999761581421,1.6369407176971436,,,
4,4,,,0.5874999761581421,0.5874999761581421,0.5600000023841858
4,4,0.893750011920929,1.437040090560913,,,
5,5,,,0.6000000238418579,0.6000000238418579,0.5733333230018616
5,5,0.9375,1.2733770608901978,,,
6,6,,,0.6499999761581421,0.6499999761581421,0.6266666650772095
6,6,0.96875,1.1100164651870728,,,
7,7,,,0.699999988079071,0.699999988079071,0.6800000071525574
7,7,0.949999988079071,0.9915906190872192,,,
8,8,,,0.762499988079071,0.762499988079071,0.746666669845581
8,8,0.9750000238418579,0.8726687431335449,,,
9,9,,,0.7875000238418579,0.7875000238418579,0.7733333110809326
9,9,0.981249988079071,0.7822344899177551,,,
10,10,,,0.8125,0.8125,0.800000011920929
10,10,0.9937499761581421,0.6826869249343872,,,
11,11,,,0.8125,0.8125,0.800000011920929
11,11,0.987500011920929,0.6187378764152527,,,
12,12,,,0.824999988079071,0.824999988079071,0.8133333325386047
12,12,0.987500011920929,0.545598566532135,,,
13,13,,,0.824999988079071,0.824999988079071,0.8133333325386047
13,13,0.9937499761581421,0.4841246008872986,,,
14,14,,,0.824999988079071,0.824999988079071,0.8133333325386047
14,14,1.0,0.42146721482276917,,,
15,15,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
15,15,1.0,0.37427768111228943,,,
16,16,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
16,16,1.0,0.33472514152526855,,,
17,17,,,0.862500011920929,0.862500011920929,0.8533333539962769
17,17,1.0,0.2996458411216736,,,
18,18,,,0.862500011920929,0.862500011920929,0.8533333539962769
18,18,1.0,0.260525107383728,,,
19,19,,,0.862500011920929,0.862500011920929,0.8533333539962769
19,19,1.0,0.22624842822551727,,,
20,20,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
20,20,1.0,0.20932570099830627,,,
21,21,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
21,21,1.0,0.18409943580627441,,,
22,22,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
22,22,1.0,0.16634562611579895,,,
23,23,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
23,23,1.0,0.15208080410957336,,,
24,24,,,0.824999988079071,0.824999988079071,0.8133333325386047
24,24,1.0,0.13450273871421814,,,
25,25,,,0.824999988079071,0.824999988079071,0.8133333325386047
25,25,1.0,0.12143202126026154,,,
26,26,,,0.824999988079071,0.824999988079071,0.8133333325386047
26,26,1.0,0.10920681804418564,,,
27,27,,,0.824999988079071,0.824999988079071,0.8133333325386047
27,27,1.0,0.09744236618280411,,,
28,28,,,0.824999988079071,0.824999988079071,0.8133333325386047
28,28,1.0,0.09129734337329865,,,
29,29,,,0.824999988079071,0.824999988079071,0.8133333325386047
29,29,1.0,0.08113744109869003,,,
30,30,,,0.824999988079071,0.824999988079071,0.8133333325386047
30,30,1.0,0.07673090696334839,,,
31,31,,,0.824999988079071,0.824999988079071,0.8133333325386047
31,31,1.0,0.0714370384812355,,,
32,32,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
32,32,1.0,0.06612322479486465,,,
33,33,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
33,33,1.0,0.057292304933071136,,,
34,34,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
34,34,1.0,0.05595947057008743,,,
35,35,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
35,35,1.0,0.05107375234365463,,,
36,36,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
36,36,1.0,0.04835774749517441,,,
37,37,,,0.824999988079071,0.824999988079071,0.8133333325386047
37,37,1.0,0.0468897745013237,,,
