epoch,step,train_acc,train_loss,val_AA,val_OA,val_kappa
0,0,,,0.13286632299423218,0.09703637659549713,0.029955141246318817
0,0,0.04374999925494194,2.878775119781494,,,
1,1,,,0.26610660552978516,0.1905045062303543,0.12282511591911316
1,1,0.375,2.37105655670166,,,
2,2,,,0.41250479221343994,0.28377440571784973,0.22357964515686035
2,2,0.668749988079071,2.0451157093048096,,,
3,3,,,0.5497262477874756,0.3472098410129547,0.2907447814941406
3,3,0.800000011920929,1.8536468744277954,,,
4,4,,,0.6181118488311768,0.4118346571922302,0.35451647639274597
4,4,0.925000011920929,1.6857973337173462,,,
5,5,,,0.6551470160484314,0.471404492855072,0.41360899806022644
5,5,0.949999988079071,1.5463570356369019,,,
6,6,,,0.6772947311401367,0.5036178231239319,0.44789883494377136
6,6,0.981249988079071,1.4156553745269775,,,
7,7,,,0.6920470595359802,0.5224502086639404,0.4691754877567291
7,7,0.9937499761581421,1.293042778968811,,,
8,8,,,0.7065252661705017,0.5413817167282104,0.49048513174057007
8,8,1.0,1.1958249807357788,,,
9,9,,,0.7196598052978516,0.561205267906189,0.5125104784965515
9,9,1.0,1.100186824798584,,,
10,10,,,0.7306540012359619,0.579343855381012,0.532566487789154
10,10,1.0,1.0061883926391602,,,
11,11,,,0.7420629858970642,0.598275363445282,0.5530700087547302
11,11,1.0,0.9237664341926575,,,
12,12,,,0.7532462477684021,0.6197839379310608,0.5761412978172302
12,12,1.0,0.8796636462211609,,,
13,13,,,0.7587438225746155,0.6354445219039917,0.5925611853599548
13,13,1.0,0.7899598479270935,,,
14,14,,,0.7614434361457825,0.6454554200172424,0.6029235124588013
14,14,1.0,0.7374211549758911,,,
15,15,,,0.7625640630722046,0.6512042880058289,0.6087340116500854
15,15,1.0,0.6769829988479614,,,
16,16,,,0.7655121088027954,0.6586381196975708,0.6166569590568542
16,16,1.0,0.617739200592041,,,
17,17,,,0.7689703106880188,0.6639904975891113,0.622480034828186
17,17,1.0,0.5772854685783386,,,
18,18,,,0.7719239592552185,0.6680543422698975,0.6268744468688965
18,18,1.0,0.5292406678199768,,,
19,19,,,0.7748175263404846,0.6731093525886536,0.6324337720870972
19,19,1.0,0.48078757524490356,,,
20,20,,,0.7772637009620667,0.6763802170753479,0.636034369468689
20,20,1.0,0.43899327516555786,,,
21,21,,,0.7791340351104736,0.6796510815620422,0.6397064328193665
21,21,1.0,0.40214309096336365,,,
22,22,,,0.7810378670692444,0.6823272705078125,0.6426728367805481
22,22,1.0,0.36995312571525574,,,
23,23,,,0.7837372422218323,0.6862919926643372,0.6470654010772705
23,23,1.0,0.34298816323280334,,,
24,24,,,0.7853295803070068,0.6895629167556763,0.650596022605896
24,24,1.0,0.330899715423584,,,
25,25,,,0.785625696182251,0.6918426156044006,0.6530722975730896
25,25,1.0,0.2972957491874695,,,
26,26,,,0.787117063999176,0.694320559501648,0.6558271050453186
26,26,1.0,0.2760891914367676,,,
27,27,,,0.7889140248298645,0.6976905465126038,0.6594803333282471
27,27,1.0,0.2517690658569336,,,
28,28,,,0.7909787893295288,0.7008623480796814,0.663037896156311
28,28,1.0,0.23265691101551056,,,
29,29,,,0.7932044267654419,0.7050252556800842,0.6675983667373657
29,29,1.0,0.2162710428237915,,,
30,30,,,0.7951724529266357,0.7077014446258545,0.6705353856086731
30,30,1.0,0.2035609483718872,,,
31,31,,,0.7967784404754639,0.7097829580307007,0.6728281378746033
31,31,1.0,0.18658927083015442,,,
32,32,,,0.7981967329978943,0.7115670442581177,0.6747362017631531
32,32,1.0,0.17852815985679626,,,
33,33,,,0.7998429536819458,0.7128555774688721,0.676080048084259
33,33,1.0,0.1671448051929474,,,
34,34,,,0.8010845184326172,0.7129546999931335,0.6760849356651306
34,34,1.0,0.15656384825706482,,,
35,35,,,0.8020409345626831,0.713252067565918,0.6763739585876465
35,35,1.0,0.1462262123823166,,,
36,36,,,0.8033002614974976,0.713846743106842,0.6770453453063965
36,36,1.0,0.13466060161590576,,,
37,37,,,0.8047991394996643,0.714044988155365,0.6773211359977722
37,37,1.0,0.1291845142841339,,,
38,38,,,0.8053970336914062,0.7144414782524109,0.6778789758682251
38,38,1.0,0.11897871643304825,,,
39,39,,,0.8065426349639893,0.7152343988418579,0.6788928508758545
39,39,1.0,0.11576873064041138,,,
40,40,,,0.8076871633529663,0.7149370312690735,0.6787303686141968
