epoch,step,train_acc,train_loss,val_AA,val_OA,val_kappa,val_loss
0,0,,,0.2746250331401825,0.23431460559368134,0.16525886952877045,2.5338635444641113
0,0,0.03750000149011612,2.8227717876434326,,,,
1,1,,,0.39780259132385254,0.25830110907554626,0.19004353880882263,2.331669807434082
1,1,0.39375001192092896,2.275803804397583,,,,
2,2,,,0.5099131464958191,0.317573606967926,0.25309619307518005,2.1381542682647705
2,2,0.7437500357627869,1.8940536975860596,,,,
3,3,,,0.5848684906959534,0.42650410532951355,0.36456021666526794,1.9687912464141846
3,3,0.9125000238418579,1.626570701599121,,,,
4,4,,,0.6448848843574524,0.5206660628318787,0.46613267064094543,1.8439810276031494
4,4,0.956250011920929,1.3944255113601685,,,,
5,5,,,0.68184494972229,0.5652691125869751,0.5157374143600464,1.748626708984375
5,5,0.981249988079071,1.2190707921981812,,,,
6,6,,,0.7115815281867981,0.5935177206993103,0.5470588803291321,1.66006600856781
6,6,0.9937499761581421,1.046334981918335,,,,
7,7,,,0.7432004809379578,0.6319754123687744,0.588582456111908,1.568077802658081
7,7,1.0,0.9054931402206421,,,,
8,8,,,0.7647800445556641,0.6559619307518005,0.6149301528930664,1.4866083860397339
8,8,1.0,0.7669349908828735,,,,
9,9,,,0.7773146629333496,0.6626028418540955,0.6228125691413879,1.4227790832519531
9,9,1.0,0.6611036062240601,,,,
10,10,,,0.7872610092163086,0.662305474281311,0.6232234835624695,1.3732454776763916
10,10,1.0,0.5635170936584473,,,,
11,11,,,0.7925161123275757,0.6598275303840637,0.6212767958641052,1.3324190378189087
11,11,1.0,0.47455620765686035,,,,
12,12,,,0.7980933785438538,0.6598275303840637,0.6218938827514648,1.2933900356292725
12,12,1.0,0.41164278984069824,,,,
13,13,,,0.8048486709594727,0.6661710739135742,0.6289802193641663,1.2563737630844116
13,13,1.0,0.3482947051525116,,,,
14,14,,,0.8140267729759216,0.6776687502861023,0.6416106224060059,1.2172422409057617
14,14,1.0,0.30041590332984924,,,,
15,15,,,0.8227894306182861,0.6904549598693848,0.6554385423660278,1.1774327754974365
15,15,1.0,0.2548186779022217,,,,
16,16,,,0.8301190733909607,0.7040340900421143,0.6700678467750549,1.1379554271697998
16,16,1.0,0.21778836846351624,,,,
17,17,,,0.8368253111839294,0.7152343988418579,0.6821985244750977,1.1039035320281982
17,17,1.0,0.17875903844833374,,,,
18,18,,,0.8413183689117432,0.7231638431549072,0.6907044649124146,1.0732747316360474
18,18,1.0,0.15556475520133972,,,,
19,19,,,0.8440659046173096,0.7279214859008789,0.6957822442054749,1.0495529174804688
19,19,1.0,0.13434895873069763,,,,
20,20,,,0.8477677702903748,0.7298047542572021,0.6978369355201721,1.0303913354873657
20,20,1.0,0.11967150866985321,,,,
21,21,,,0.8488661646842957,0.7306967973709106,0.6988093852996826,1.0139414072036743
21,21,1.0,0.10686337947845459,,,,
