epoch,step,train_acc,train_loss,val_AA,val_OA,val_kappa
0,0,,,0.30000001192092896,0.30000001192092896,0.25333333015441895
0,0,0.01875000074505806,2.8473188877105713,,,
1,1,,,0.4749999940395355,0.4749999940395355,0.4399999976158142
1,1,0.30000001192092896,2.393033981323242,,,
2,2,,,0.5625,0.5625,0.5333333611488342
2,2,0.6625000238418579,2.079552173614502,,,
3,3,,,0.612500011920929,0.612500011920929,0.5866666436195374
3,3,0.7437500357627869,1.8992631435394287,,,
4,4,,,0.625,0.625,0.6000000238418579
4,4,0.8687499761581421,1.6824932098388672,,,
5,5,,,0.737500011920929,0.737500011920929,0.7200000286102295
5,5,0.8687499761581421,1.5533931255340576,,,
6,6,,,0.75,0.75,0.7333333492279053
6,6,0.90625,1.4962995052337646,,,
7,7,,,0.737500011920929,0.737500011920929,0.7200000286102295
7,7,0.9312499761581421,1.3515570163726807,,,
8,8,,,0.7124999761581421,0.7124999761581421,0.6933333277702332
8,8,0.887499988079071,1.3030951023101807,,,
9,9,,,0.7250000238418579,0.7250000238418579,0.7066666483879089
9,9,0.9375,1.1625534296035767,,,
10,10,,,0.737500011920929,0.737500011920929,0.7200000286102295
10,10,0.9750000238418579,1.034395694732666,,,
11,11,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
11,11,0.981249988079071,1.0138421058654785,,,
12,12,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
12,12,0.9750000238418579,0.9661425352096558,,,
13,13,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
13,13,0.9750000238418579,0.9676543474197388,,,
14,14,,,0.762499988079071,0.762499988079071,0.746666669845581
14,14,0.9937499761581421,0.8908554315567017,,,
15,15,,,0.75,0.75,0.7333333492279053
15,15,0.981249988079071,0.844887912273407,,,
16,16,,,0.762499988079071,0.762499988079071,0.746666669845581
16,16,0.987500011920929,0.8217409253120422,,,
17,17,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
17,17,0.9937499761581421,0.7850251197814941,,,
18,18,,,0.8125,0.8125,0.800000011920929
18,18,0.987500011920929,0.7657068967819214,,,
19,19,,,0.824999988079071,0.824999988079071,0.8133333325386047
19,19,0.9937499761581421,0.7459977865219116,,,
20,20,,,0.824999988079071,0.824999988079071,0.8133333325386047
20,20,0.987500011920929,0.7302314043045044,,,
21,21,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
21,21,0.9937499761581421,0.7196596264839172,,,
22,22,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
22,22,1.0,0.6790967583656311,,,
23,23,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
23,23,1.0,0.6498128175735474,,,
24,24,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
24,24,1.0,0.6407460570335388,,,
25,25,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
25,25,1.0,0.6390314698219299,,,
26,26,,,0.862500011920929,0.862500011920929,0.8533333539962769
26,26,1.0,0.6258849501609802,,,
27,27,,,0.862500011920929,0.862500011920929,0.8533333539962769
27,27,1.0,0.6211704015731812,,,
28,28,,,0.862500011920929,0.862500011920929,0.8533333539962769
28,28,0.9937499761581421,0.6177732944488525,,,
29,29,,,0.875,0.875,0.8666666746139526
29,29,1.0,0.6180597543716431,,,
30,30,,,0.875,0.875,0.8666666746139526
30,30,0.9937499761581421,0.6084449291229248,,,
31,31,,,0.875,0.875,0.8666666746139526
31,31,0.9937499761581421,0.6078144907951355,,,
32,32,,,0.875,0.875,0.8666666746139526
32,32,1.0,0.5999138951301575,,,
33,33,,,0.862500011920929,0.862500011920929,0.8533333539962769
33,33,0.9937499761581421,0.6068618893623352,,,
34,34,,,0.862500011920929,0.862500011920929,0.8533333539962769
34,34,1.0,0.5920793414115906,,,
35,35,,,0.862500011920929,0.862500011920929,0.8533333539962769
35,35,1.0,0.5969420671463013,,,
36,36,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
36,36,1.0,0.5952082872390747,,,
37,37,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
37,37,1.0,0.6000679135322571,,,
38,38,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
38,38,0.9937499761581421,0.5988330245018005,,,
39,39,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
39,39,1.0,0.5956264138221741,,,
40,40,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
40,40,0.9937499761581421,0.6115800738334656,,,
41,41,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
41,41,1.0,0.5966519713401794,,,
42,42,,,0.862500011920929,0.862500011920929,0.8533333539962769
42,42,1.0,0.5927884578704834,,,
43,43,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
43,43,1.0,0.5919793844223022,,,
44,44,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
44,44,1.0,0.5903062224388123,,,
45,45,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
45,45,1.0,0.5947825908660889,,,
46,46,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
46,46,1.0,0.5858355164527893,,,
47,47,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
47,47,1.0,0.5885486602783203,,,
48,48,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
48,48,1.0,0.5959380269050598,,,
49,49,,,0.8500000238418579,0.8500000238418579,0.8399999737739563
49,49,1.0,0.5922355651855469,,,
